"Package","Version"
"brew","1.0-10"
"brio","1.1.5"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"cli","3.6.4"
"clipr","0.8.0"
"commonmark","1.9.2"
"crayon","1.5.3"
"credentials","2.0.2"
"curl","6.2.1"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.5"
"digest","0.6.37"
"downlit","0.4.4"
"evaluate","1.0.3"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"fs","1.6.5"
"gert","2.1.4"
"gh","1.4.1"
"gitcreds","0.1.2"
"highr","0.11"
"htmltools","0.5.8.1"
"httpuv","1.6.15"
"httr2","1.1.1"
"ini","0.3.1"
"jquerylib","0.1.4"
"jsonlite","1.9.1"
"knitr","1.49"
"lifecycle","1.0.4"
"memoise","2.0.1"
"miniUI","0.1.1.1"
"openssl","2.3.2"
"pkgbuild","1.4.6"
"pkgdown","2.1.1"
"pkgload","1.4.0"
"plotly","4.10.4"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.8.6"
"profvis","0.4.0"
"promises","1.3.2"
"ps","1.9.0"
"purrr","1.0.4"
"ragg","1.3.3"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"remotes","2.5.0"
"rlang","1.1.5"
"rmarkdown","2.29"
"roxygen2","7.3.2"
"rprojroot","2.0.4"
"rstudioapi","0.17.1"
"rversions","2.1.2"
"sass","0.4.9"
"sessioninfo","1.2.3"
"shiny","1.10.0"
"sourcetools","0.1.7-1"
"stringi","1.8.4"
"stringr","1.5.1"
"systemfonts","1.2.1"
"testthat","3.2.3"
"textshaping","1.0.0"
"tinytex","0.56"
"urlchecker","1.0.1"
"usethis","3.1.0"
"vctrs","0.6.5"
"waldo","0.6.1"
"whisker","0.4.1"
"withr","3.0.2"
"xfun","0.51"
"xml2","1.3.7"
"xopen","1.0.1"
"xtable","1.8-4"
"zip","2.3.2"
"aberrant","1.0"
"askpass","1.1"
"base64enc","0.1-3"
"cli","3.3.0"
"coda","0.19-4"
"colorspace","2.0-3"
"cpp11","0.4.2"
"crosstalk","1.2.0"
"curl","4.3.2"
"data.table","1.14.2"
"digest","0.6.29"
"dplyr","1.0.10"
"ellipse","0.4.3"
"ellipsis","0.3.2"
"fansi","1.0.3"
"farver","2.1.1"
"fastmap","1.1.0"
"generics","0.1.3"
"getopt","1.20.3"
"ggplot2","3.3.6"
"glue","1.6.2"
"gtable","0.3.1"
"htmltools","0.5.3"
"htmlwidgets","1.5.4"
"httr","1.4.4"
"igraph","1.3.4"
"isoband","0.2.5"
"jsonlite","1.8.0"
"labeling","0.4.2"
"later","1.3.0"
"lazyeval","0.2.2"
"lifecycle","1.0.1"
"magrittr","2.0.3"
"MatrixModels","0.5-0"
"mcmc","0.9-7"
"MCMCpack","1.6-3"
"mime","0.12"
"munsell","0.5.0"
"mvtnorm","1.1-3"
"openssl","2.0.2"
"optparse","1.7.3"
"pillar","1.8.1"
"pkgconfig","2.0.3"
"plotly","4.10.0"
"promises","1.2.0.1"
"purrr","0.3.4"
"quantreg","5.94"
"R6","2.5.1"
"RColorBrewer","1.1-3"
"Rcpp","1.0.9"
"rlang","1.0.5"
"scales","1.2.1"
"SparseM","1.81"
"sys","3.4"
"tibble","3.1.8"
"tidyr","1.2.0"
"tidyselect","1.1.2"
"utf8","1.2.2"
"vctrs","0.4.1"
"viridisLite","0.4.1"
"withr","2.5.0"
"yaml","2.3.5"
"littler","0.3.15"
